2026-09-10 15:38:29 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo CTGBRNE 10042026.xlsx em modo incremental.
2026-09-10 15:38:29 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:29 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=14295008000137
2026-09-10 15:38:29 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=14295008000137 ERROS=0 AVISOS=0
2026-09-10 15:38:29 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo CTGNE 23072026.xlsx em modo incremental.
2026-09-10 15:38:30 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:30 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=14295008000137
2026-09-10 15:38:30 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=14295008000137 ERROS=0 AVISOS=0
2026-09-10 15:38:30 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo CZARNIKOW 09062026.xlsx em modo incremental.
2026-09-10 15:38:30 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:30 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=07794616000120
2026-09-10 15:38:30 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=07794616000120 ERROS=0 AVISOS=0
2026-09-10 15:38:30 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo CZARNIKOW 13062025.xlsx em modo incremental.
2026-09-10 15:38:31 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:31 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=07794616000120
2026-09-10 15:38:31 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=07794616000120 ERROS=0 AVISOS=0
2026-09-10 15:38:31 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo CZARNIKOW 27032026.xlsx em modo incremental.
2026-09-10 15:38:31 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:31 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=07794616000120
2026-09-10 15:38:31 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=07794616000120 ERROS=0 AVISOS=0
2026-09-10 15:38:31 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo CZARNIKOW 27_09_2022.xlsx em modo incremental.
2026-09-10 15:38:31 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:31 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=07794616000120
2026-09-10 15:38:31 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=07794616000120 ERROS=0 AVISOS=0
2026-09-10 15:38:31 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo CZARNIKOW_07_06_2021 (zerada manualmente).xlsx em modo incremental.
