2026-09-16 13:37:38 | INFO | bdc.consumidores | Iniciando processamento do arquivo RIO PARANÁ ENERGIA 26112024.xlsx em modo incremental.
2026-09-16 13:37:38 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_1 identificado para RIO PARANÁ ENERGIA 26112024.xlsx.
2026-09-16 13:37:38 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:38 | INFO | bdc.consumidores | Classificação documental para RIO PARANÁ ENERGIA 26112024.xlsx: tipo=>=5MWm analise=detalhada
2026-09-16 13:37:38 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=23096269000119
2026-09-16 13:37:38 | INFO | bdc.consumidores | Validação concluída. CNPJ=23096269000119 ERROS=0 AVISOS=0
2026-09-16 13:37:38 | INFO | bdc.consumidores | Validação condicional concluída para 23096269000119. Tipo=detalhada ERROS=3 AVISOS=1
2026-09-16 13:37:38 | INFO | bdc.consumidores | Ficha processada com sucesso: RIO PARANÁ ENERGIA 26112024.xlsx.
2026-09-16 13:37:38 | INFO | bdc.consumidores | Iniciando processamento do arquivo ROMI 16052025.xlsx em modo incremental.
2026-09-16 13:37:38 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_1 identificado para ROMI 16052025.xlsx.
2026-09-16 13:37:38 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:38 | INFO | bdc.consumidores | Classificação documental para ROMI 16052025.xlsx: tipo=>=5MWm analise=detalhada
2026-09-16 13:37:38 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=56720428001488
2026-09-16 13:37:38 | INFO | bdc.consumidores | Validação concluída. CNPJ=56720428001488 ERROS=0 AVISOS=0
2026-09-16 13:37:38 | INFO | bdc.consumidores | Validação condicional concluída para 56720428001488. Tipo=detalhada ERROS=2 AVISOS=1
2026-09-16 13:37:38 | INFO | bdc.consumidores | Ficha processada com sucesso: ROMI 16052025.xlsx.
2026-09-16 13:37:38 | INFO | bdc.consumidores | Iniciando processamento do arquivo ROMI RATING 31102025.xlsx em modo incremental.
2026-09-16 13:37:38 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_2 identificado para ROMI RATING 31102025.xlsx.
2026-09-16 13:37:38 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:38 | INFO | bdc.consumidores | Classificação documental para ROMI RATING 31102025.xlsx: tipo=>=5MWm analise=detalhada
2026-09-16 13:37:38 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=56720428001488
2026-09-16 13:37:38 | INFO | bdc.consumidores | Validação concluída. CNPJ=56720428001488 ERROS=0 AVISOS=1
2026-09-16 13:37:38 | INFO | bdc.consumidores | Validação condicional concluída para 56720428001488. Tipo=detalhada ERROS=1 AVISOS=1
2026-09-16 13:37:38 | INFO | bdc.consumidores | Iniciando processamento do arquivo ROMI_24062025.xlsx em modo incremental.
2026-09-16 13:37:38 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_1 identificado para ROMI_24062025.xlsx.
2026-09-16 13:37:38 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:38 | INFO | bdc.consumidores | Classificação documental para ROMI_24062025.xlsx: tipo=>=5MWm analise=detalhada
2026-09-16 13:37:38 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=56720428001488
2026-09-16 13:37:38 | INFO | bdc.consumidores | Validação concluída. CNPJ=56720428001488 ERROS=0 AVISOS=1
2026-09-16 13:37:38 | INFO | bdc.consumidores | Validação condicional concluída para 56720428001488. Tipo=detalhada ERROS=2 AVISOS=2
2026-09-16 13:37:38 | INFO | bdc.consumidores | Iniciando processamento do arquivo RUY ROCHA 30042026.xlsx em modo incremental.
2026-09-16 13:37:38 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_2 identificado para RUY ROCHA 30042026.xlsx.
2026-09-16 13:37:38 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:38 | INFO | bdc.consumidores | Classificação documental para RUY ROCHA 30042026.xlsx: tipo=>=5MWm analise=detalhada
2026-09-16 13:37:38 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=57107609000343
2026-09-16 13:37:38 | INFO | bdc.consumidores | Validação concluída. CNPJ=57107609000343 ERROS=0 AVISOS=0
2026-09-16 13:37:38 | INFO | bdc.consumidores | Validação condicional concluída para 57107609000343. Tipo=detalhada ERROS=0 AVISOS=0
2026-09-16 13:37:38 | INFO | bdc.consumidores | Ficha processada com sucesso: RUY ROCHA 30042026.xlsx.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Iniciando processamento do arquivo RVTRANS 31072026.xlsx em modo incremental.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_2 identificado para RVTRANS 31072026.xlsx.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:39 | INFO | bdc.consumidores | Classificação documental para RVTRANS 31072026.xlsx: tipo=<5MWm analise=simplificada
2026-09-16 13:37:39 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=32140332000168
2026-09-16 13:37:39 | INFO | bdc.consumidores | Validação concluída. CNPJ=32140332000168 ERROS=0 AVISOS=0
2026-09-16 13:37:39 | INFO | bdc.consumidores | Validação condicional concluída para 32140332000168. Tipo=simplificada ERROS=1 AVISOS=1
2026-09-16 13:37:39 | INFO | bdc.consumidores | Ficha processada com sucesso: RVTRANS 31072026.xlsx.
