2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Score qualitativo CPURA calculado. CNPJ=03926572000194 SCORE_QUALITATIVO=3.0
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando score quantitativo CPURA. CNPJ=03926572000194
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Score quantitativo CPURA calculado. CNPJ=03926572000194 SCORE_QUANTITATIVO=7.0
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Score total CPURA calculado. SCORE_TOTAL=10.0
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD final CPURA. CNPJ=03926572000194 rating=A pd_min=0.0 pd_max=0.005
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | PD final CPURA calculada com sucesso. CNPJ=03926572000194 score_total=10.0 score_truncado=10.0 u=0.0 pd_bruta=0.0 pd_final=2.2603242979035746e-06
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | PD ajustada calculada com sucesso. CNPJ=03926572000194 SEGMENTO_PD=CPURA PD_BASE=0.0 RATING_FINAL=None SCORE_TOTAL=10.0 PD_FINAL=2.2603242979035746e-06 METODO=INTERPOLACAO_INTRA_RATING_CPURA
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=03953509000147 SEGMENTO_PD=CPURA
2026-09-10 15:45:43 | WARNING | bdc.gold.fato_analise_credito | Cálculo CPURA suspenso por Falha Segura. Rating nulo. CNPJ=03953509000147
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=03984862000194 SEGMENTO_PD=CPURA
2026-09-10 15:45:43 | WARNING | bdc.gold.fato_analise_credito | Cálculo CPURA suspenso por Falha Segura. Rating nulo. CNPJ=03984862000194
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=03984862000194 SEGMENTO_PD=CGRUPO
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | PD ajustada calculada com sucesso. CNPJ=03984862000194 SEGMENTO_PD=CGRUPO PD_BASE=0.005 RATING_FINAL=A SCORE_TOTAL=None PD_FINAL=0.005 METODO=FIXED_PD
