2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [148/1329] CNPJ 02749435000169 -> CACHE (SUCESSO, 134d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [149/1329] CNPJ 02788151000181 -> CACHE (SUCESSO, 9d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [150/1329] CNPJ 02794165000108 -> CACHE (SUCESSO, 157d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [151/1329] CNPJ 02795010000196 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [152/1329] CNPJ 02831172000132 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [153/1329] CNPJ 02845645000150 -> CACHE (SUCESSO, 239d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [154/1329] CNPJ 02876495000142 -> CACHE (SUCESSO, 282d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [155/1329] CNPJ 02883512000179 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [156/1329] CNPJ 02886685000140 -> CACHE (SUCESSO, 338d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [157/1329] CNPJ 02898246000158 -> CACHE (SUCESSO, 17d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [158/1329] CNPJ 02916265000160 -> CACHE (SUCESSO, 121d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [159/1329] CNPJ 02916265037322 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [160/1329] CNPJ 02917571000110 -> CACHE (SUCESSO, 307d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [161/1329] CNPJ 02921346000158 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [162/1329] CNPJ 02929563000194 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [163/1329] CNPJ 02937632000101 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [164/1329] CNPJ 02948278000110 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [165/1329] CNPJ 02995367000118 -> CACHE (SUCESSO, 181d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [166/1329] CNPJ 02995385000108 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [167/1329] CNPJ 03004238000183 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [168/1329] CNPJ 03034433000156 -> CACHE (NAO_ENCONTRADO, 8d/30d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [169/1329] CNPJ 03058653000110 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [170/1329] CNPJ 03058852000128 -> CACHE (SUCESSO, 324d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [171/1329] CNPJ 03061685000174 -> CACHE (SUCESSO, 295d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [172/1329] CNPJ 03084476000146 -> CACHE (SUCESSO, 84d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [173/1329] CNPJ 03109168000128 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [174/1329] CNPJ 03121295000142 -> CACHE (SUCESSO, 163d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [175/1329] CNPJ 03135376000100 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [176/1329] CNPJ 03156784000130 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [177/1329] CNPJ 03270248000160 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [178/1329] CNPJ 03282398000194 -> CACHE (SUCESSO, 147d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [179/1329] CNPJ 03298956000100 -> CACHE (SUCESSO, 239d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [180/1329] CNPJ 03304180000193 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [181/1329] CNPJ 03315918000541 -> CACHE (SUCESSO, 303d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [182/1329] CNPJ 03391986000166 -> CACHE (SUCESSO, 239d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [183/1329] CNPJ 03400446000100 -> CACHE (SUCESSO, 38d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [184/1329] CNPJ 03402181000170 -> CACHE (SUCESSO, 121d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [185/1329] CNPJ 03428728000107 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [186/1329] CNPJ 03432310000173 -> CACHE (SUCESSO, 239d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [187/1329] CNPJ 03468598000136 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [188/1329] CNPJ 03469014000147 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [189/1329] CNPJ 03493431000125 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [190/1329] CNPJ 03499903000157 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [191/1329] CNPJ 03500636000190 -> CACHE (SUCESSO, 240d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [192/1329] CNPJ 03504139000160 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [193/1329] CNPJ 03505376000146 -> CACHE (SUCESSO, 338d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [194/1329] CNPJ 03580981000181 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [195/1329] CNPJ 03593705000158 -> CACHE (SUCESSO, 78d/365d)
